Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Lote,Venta,638900000.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,Bocono,5.0,Cúcuta
Apartamento,Venta,310000000.0,0.0,0.0,3.0,2.0,1.0,65.7,65.7,"Av. Libertadores, Playa Hermosa",4.0,Cúcuta
Casa,Venta,420000000.0,0.0,0.0,4.0,2.0,1.0,84.0,84.0,Capillana,4.0,Cúcuta
Casa,Venta,220000000.0,0.0,0.0,5.0,2.0,3.0,0.0,188.1,Atalaya,2.0,Cúcuta
Casa,Venta,250000000.0,0.0,0.0,4.0,2.0,0.0,190.39,190.39,ATALAYA,3.0,Cúcuta
Casa,Venta,2500000000.0,0.0,0.0,8.0,6.0,0.0,415.0,450.0,La Riviera,4.0,Cúcuta
Lote,Venta,400000000.0,285000.0,0.0,0.0,0.0,0.0,0.0,500.0,Bocono,5.0,Cúcuta
Lote,Venta,175000000.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,Bocono,5.0,Cúcuta
Lote,Venta,185000000.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,Bocono,5.0,Cúcuta
Casa,Venta,210000000.0,0.0,0.0,3.0,2.0,0.0,162.5,162.5,San Miguel,3.0,Cúcuta
Lote,Venta,900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,El Llano,4.0,Cúcuta
Apartamento,Venta,250000000.0,0.0,0.0,3.0,3.0,1.0,89.0,89.0,POPULAR,3.0,Cúcuta
Casa,Venta,158000000.0,0.0,0.0,4.0,2.0,0.0,104.92,104.92,Torcoroma,3.0,Cúcuta
Casa,Venta,130000000.0,0.0,0.0,3.0,1.0,0.0,62.0,80.58,El Contento,3.0,Cúcuta
Casa,Venta,250000000.0,0.0,0.0,3.0,2.0,1.0,97.5,0.0,Aniversario II,3.0,Cúcuta
Local,Venta,60000000.0,220000.0,0.0,0.0,1.0,0.0,12.15,12.15,Centro,3.0,Cúcuta
Casa,Venta,280000000.0,0.0,0.0,4.0,4.0,0.0,135.0,135.0,Trigal Del Norte,2.0,Cúcuta
Apartamento,Venta,750000000.0,693000.0,0.0,2.0,3.0,2.0,159.17,159.17,Vía Al Tennis,6.0,Cúcuta
Casa,Venta,185000000.0,148000.0,0.0,3.0,2.0,2.0,62.0,71.82,Santander,2.0,Cúcuta
Apartamento,Venta,280000000.0,0.0,0.0,3.0,2.0,1.0,82.1,82.1,Prados Del Este,3.0,Cúcuta
Apartamento,Venta,320000000.0,370000.0,0.0,3.0,2.0,1.0,65.7,65.7,"Av. Libertadores, Playa Hermosa",4.0,Cúcuta
Casa,Venta,400000000.0,0.0,0.0,3.0,2.0,2.0,203.0,203.0,COLSAG,4.0,Cúcuta
